category_id,category_name,incidence_rate,category_length_seconds,respondents_exposed,n_versions,versions,qualified_p5,qualified_mean,qualified_p95,qualified_simulated,p_month_at_least_200,p_annual_2400
21,Period Products,0.290499391,146.6167831979692,764,16,v04|v10|v20|v21|v29|v35|v44|v48|v50|v51|v52|v53|v55|v59|v62|v71,201,221.9,243,221.9,0.9642,1.0
22,Car Modifications,0.3052422031,170.2057846658863,723,10,v06|v14|v15|v17|v20|v21|v38|v51|v54|v58,200,220.7,241,220.6,0.9575,1.0
23,Baby and Child Products,0.3084639498,61.8213781923987,715,13,v05|v09|v15|v18|v21|v27|v46|v49|v52|v65|v71|v72|v76,200,220.6,241,220.8,0.9568,1.0
24,Luxury Leather Bags/Accessories,0.2751445087,127.7510649128817,804,13,v02|v07|v21|v22|v25|v32|v33|v40|v47|v62|v68|v72|v77,201,221.2,242,221.1,0.9579,1.0
25,"Shares, brokers, and trading apps/website",0.3204272363,48.83326439419761,689,16,v14|v18|v25|v27|v36|v42|v43|v45|v47|v48|v53|v56|v59|v63|v65|v75,201,220.8,241,220.8,0.9597,1.0
26,Online Betting Services,0.3089783282,70.0831003091298,713,13,v06|v08|v13|v33|v36|v37|v41|v46|v47|v58|v60|v66|v75,200,220.3,241,220.5,0.9551,1.0
27,Buy Now Pay Later (Gimmie),0.3503546099,87.91711388155818,628,12,v01|v13|v18|v30|v38|v40|v50|v58|v59|v60|v63|v69,200,220.0,240,220.0,0.9578,1.0
28,Alcohol Free Drinks,0.4125350795,32.008549973834306,530,16,v22|v27|v33|v38|v39|v44|v47|v49|v55|v56|v58|v61|v64|v65|v67|v77,200,218.6,237,218.7,0.9549,1.0
29,Pre-mixed alcoholic drinks/RTDs,0.4010938924,87.35819356050342,547,10,v07|v11|v33|v34|v38|v42|v49|v51|v62|v75,201,219.4,238,219.8,0.9593,1.0
30,Buy Now Pay Later (Laybuy),0.3945111492,160.4536268580705,556,7,v03|v19|v23|v25|v27|v41|v57,200,219.3,238,219.4,0.9581,1.0
31,Men's Clothing (Male Only),0.3270072993,81.05234950315207,674,11,v02|v12|v16|v20|v22|v43|v46|v61|v62|v63|v64,200,220.4,241,220.7,0.9578,1.0
32,Meal Kit Delivery Service,0.3631910427,102.31201732065529,605,9,v07|v08|v20|v22|v30|v42|v45|v67|v71,200,219.7,239,219.5,0.9571,1.0
33,Recruitment,0.3343350864,119.93487381376326,658,10,v03|v07|v09|v14|v25|v44|v55|v61|v66|v74,200,220.0,240,220.6,0.9557,1.0
34,Alcohol Free Beer,0.3972929936,104.03119605733082,552,8,v07|v12|v15|v17|v39|v40|v74|v75,200,219.3,238,219.0,0.9581,1.0
35,Women's Activewear (Female Only),0.375,57.93264021165669,587,16,v03|v28|v31|v37|v39|v42|v46|v50|v53|v54|v58|v60|v62|v65|v69|v77,201,220.1,239,220.3,0.9613,1.0
36,"Shares, funds, and term deposits",0.3906497623,154.10599779104814,561,7,v03|v04|v16|v23|v24|v62|v74,200,219.2,238,219.6,0.9561,1.0
